indiv	group	timept	x	y	Status	StatusNum	angle	radius
1.2	Dead	0	1.029504417	8.121	Dead	0	127.95342859783	0.967629641631457
1.2	Dead	1	0.753744366	7.3595	Dead	0	136.947067761309	0.973415571529958
1.2	Dead	2	1.506006625	6.311	Dead	0	131.58919957801	0.682994403868863
1.2	Dead	3	1.282566926	6.8565	Dead	0	130.839484548172	0.784792278128571
1.2	Dead	4	1.715615019	7.2115	Dead	0	122.143955715899	0.760835669408001
1.2	Dead	5	0.169568189	6.7995	Dead	0	155.205768605964	1.39589222387715
1.2	Dead	6	0.263958191	7.879	Dead	0	146.386901270995	1.32362376528922
1.2	Dead	7	0.43615324	4.1695	Dead	0	173.991197298653	0.920215954978752
1.2	Dead	10	0.921084965	0.8775	Dead	0	-113.527097296039	1.59471121555631
2.1	Dead	1	2.287069708	6.435	Dead	0	119.306735112838	0.608116903013275
2.1	Dead	2	2.496510185	6.3845	Dead	0	116.898214781994	0.585781122350883
2.1	Dead	3	3.6288362	5.503	Dead	0	108.576095847158	0.394372912267502
2.1	Dead	4	4.822802916	7.0545	Dead	0	91.8074807722784	0.622508677074577
2.1	Dead	5	5.779570155	8.3495	Dead	0	86.540272758096	0.792178669487125
2.1	Dead	6	4.64977622	7.9825	Dead	0	92.5527769861581	0.746525721170943
2.1	Dead	7	1.196756214	4.667	Dead	0	158.801866042155	0.578133447461696
2.1	Dead	8	0.032846954	2.018	Dead	0	-161.480999495944	1.98149228367028
2.1	Dead	9	0.194002857	0.9835	Dead	0	-132.07535565051	1.81620575830069
2.1	Dead	10	0.737298164	0.9175	Dead	0	-116.911071627675	1.58972011665526
2.41	Dead	0	0.516790757	8.2175	Dead	0	137.715021018211	1.15157232960134
2.41	Dead	1	1.891504787	8.1415	Dead	0	115.700982773311	0.849554452026475
2.41	Dead	2	3.410106525	6.837	Dead	0	104.134725257705	0.609330243291792
2.41	Dead	3	6.70455806	4.9995	Dead	0	69.6381522393962	0.296391496430554
2.41	Dead	4	13.63329664	5.2255	Dead	0	41.2234272603018	0.488748351771091
2.41	Dead	5	19.19886991	4.875	Dead	0	27.0317256491818	0.555912761017209
2.41	Dead	6	14.74820375	4.881	Dead	0	32.6054852407096	0.471156496115339
2.41	Dead	7	10.54973714	4.261	Dead	0	23.4545496824531	0.296559653434346
2.41	Dead	8	3.336195089	1.8335	Dead	0	-102.212335074352	0.742031958482831
2.41	Dead	9	1.064085495	0.8505	Dead	0	-111.318287058401	1.6030885790854
2.5	Dead	0	4.663957842	8.047	Dead	0	92.4394667989653	0.754516370367634
2.5	Dead	1	6.571602821	6.7235	Dead	0	80.5401747587641	0.582057437702425
2.5	Dead	2	7.580825314	6.7475	Dead	0	75.5466296276609	0.596586619880817
2.5	Dead	3	9.907855466	5.3235	Dead	0	53.8728172803022	0.421765371951617
2.5	Dead	4	16.55709073	5.057	Dead	0	33.3245772233418	0.526604499630837
2.5	Dead	5	18.14609021	5.76	Dead	0	41.497570516521	0.63307896954301
2.5	Dead	6	14.93489146	4.587	Dead	0	25.5244930118037	0.445023980773843
2.5	Dead	7	21.79772705	3.7745	Dead	0	-0.337844480265243	0.542501224890143
2.5	Dead	8	1.52213918	1.509	Dead	0	-116.033566807653	1.02390831951231
2.51	Dead	0	2.862383146	6.4095	Dead	0	112.131129427205	0.568175338749807
2.51	Dead	2	7.068336383	5.032	Dead	0	66.6391784992065	0.309741514208035
2.51	Dead	4	14.18810859	5.676	Dead	0	46.622933522516	0.556896474432207
2.51	Dead	5	15.1227124	6.2765	Dead	0	51.2042014934689	0.648391286902089
2.51	Dead	6	10.00160538	6.191	Dead	0	62.8451593546031	0.55253193623476
2.51	Dead	7	3.377713263	4.7445	Dead	0	124.042282859074	0.27216096284348
2.51	Dead	8	0.648540352	1.627	Dead	0	-132.250746682546	1.1412027120235
2.51	Dead	9	0.930910325	0.778	Dead	0	-111.789825663524	1.70426204459297
3.1	Dead	0	0.872697937	7.0695	Dead	0	136.447391103551	0.906102436708663
3.1	Dead	1	2.873370703	6.9165	Dead	0	109.439411742295	0.638862101737086
3.1	Dead	2	6.009104475	4.9205	Dead	0	76.617535059432	0.269254521832836
